tag,anchor,PRF,channel,data rate,preamble,TXpower,PRR,Average distance error anchor,Stde distance error anchor,energy consumption,packet duration,Average RSP tag,Stde RSP tag,Average RSP anchor,Stde RSP anchor,Average LOS indication tag,Stde LOS indication tag,Average LOS indication anchor,Stde LOS indication anchor,Mean noise CIR tag,Mean noise CIR anchor,startindex,stopindex
13,4,16,5,110,1024,0.0,,,,,,,,,,,,,,,,,
13,4,16,5,110,1024,18.0,,,,,,,,,,,,,,,,,
13,4,16,5,110,4096,0.0,,,,,,,,,,,,,,,,,
13,4,16,5,110,4096,18.0,,,,,,,,,,,,,,,,,
13,4,16,5,6800,128,0.0,,,,,,,,,,,,,,,,,
13,4,16,5,6800,128,18.0,,,,,,,,,,,,,,,,,
13,4,16,5,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,4,16,5,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,4,16,5,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,4,16,5,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,4,16,7,110,128,0.0,,,,,,,,,,,,,,,,,
13,4,16,7,110,128,18.0,,,,,,,,,,,,,,,,,
13,4,16,7,110,1024,0.0,,,,,,,,,,,,,,,,,
13,4,16,7,110,1024,18.0,,,,,,,,,,,,,,,,,
13,4,16,7,110,4096,0.0,,,,,,,,,,,,,,,,,
13,4,16,7,110,4096,18.0,,,,,,,,,,,,,,,,,
13,4,16,7,6800,128,0.0,,,,,,,,,,,,,,,,,
13,4,16,7,6800,128,18.0,,,,,,,,,,,,,,,,,
13,4,16,7,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,4,16,7,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,4,16,7,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,4,16,7,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,4,64,3,110,128,0.0,,,,,,,,,,,,,,,,,
13,4,64,3,110,128,18.0,,,,,,,,,,,,,,,,,
13,4,64,3,110,1024,0.0,,,,,,,,,,,,,,,,,
13,4,64,3,110,1024,18.0,,,,,,,,,,,,,,,,,
13,4,64,3,110,4096,0.0,,,,,,,,,,,,,,,,,
13,4,64,3,110,4096,18.0,,,,,,,,,,,,,,,,,
13,4,64,3,6800,128,0.0,,,,,,,,,,,,,,,,,
13,4,64,3,6800,128,18.0,,,,,,,,,,,,,,,,,
13,4,64,3,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,4,64,3,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,4,64,3,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,4,64,3,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,4,64,5,110,128,0.0,,,,,,,,,,,,,,,,,
13,4,64,5,110,128,18.0,,,,,,,,,,,,,,,,,
13,4,64,5,110,1024,0.0,,,,,,,,,,,,,,,,,
13,4,64,5,110,1024,18.0,,,,,,,,,,,,,,,,,
13,4,64,5,110,4096,0.0,,,,,,,,,,,,,,,,,
13,4,64,5,110,4096,18.0,,,,,,,,,,,,,,,,,
13,4,64,5,6800,128,0.0,,,,,,,,,,,,,,,,,
13,4,64,5,6800,128,18.0,,,,,,,,,,,,,,,,,
13,4,64,5,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,4,64,5,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,4,64,5,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,4,64,5,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,4,64,7,110,128,0.0,,,,,,,,,,,,,,,,,
13,4,64,7,110,128,18.0,,,,,,,,,,,,,,,,,
13,4,64,7,110,1024,0.0,,,,,,,,,,,,,,,,,
13,4,64,7,110,1024,18.0,,,,,,,,,,,,,,,,,
13,4,64,7,110,4096,0.0,,,,,,,,,,,,,,,,,
13,4,64,7,110,4096,18.0,,,,,,,,,,,,,,,,,
13,4,64,7,6800,128,0.0,,,,,,,,,,,,,,,,,
13,4,64,7,6800,128,18.0,,,,,,,,,,,,,,,,,
13,4,64,7,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,4,64,7,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,4,64,7,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,4,64,7,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,5,16,3,110,128,0.0,,,,,,,,,,,,,,,,,
13,5,16,3,110,128,18.0,,,,,,,,,,,,,,,,,
13,5,16,3,110,1024,0.0,,,,,,,,,,,,,,,,,
13,5,16,3,110,1024,18.0,,,,,,,,,,,,,,,,,
13,5,16,3,110,4096,0.0,,,,,,,,,,,,,,,,,
13,5,16,3,110,4096,18.0,,,,,,,,,,,,,,,,,
13,5,16,3,6800,128,0.0,,,,,,,,,,,,,,,,,
13,5,16,3,6800,128,18.0,,,,,,,,,,,,,,,,,
13,5,16,3,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,5,16,3,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,5,16,3,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,5,16,3,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,5,16,5,110,128,0.0,,,,,,,,,,,,,,,,,
13,5,16,5,110,128,18.0,,,,,,,,,,,,,,,,,
13,5,16,5,110,1024,0.0,,,,,,,,,,,,,,,,,
13,5,16,5,110,1024,18.0,,,,,,,,,,,,,,,,,
13,5,16,5,110,4096,0.0,,,,,,,,,,,,,,,,,
13,5,16,5,110,4096,18.0,,,,,,,,,,,,,,,,,
13,5,16,5,6800,128,0.0,,,,,,,,,,,,,,,,,
13,5,16,5,6800,128,18.0,,,,,,,,,,,,,,,,,
13,5,16,5,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,5,16,5,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,5,16,5,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,5,16,5,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,5,16,7,110,128,0.0,,,,,,,,,,,,,,,,,
13,5,16,7,110,128,18.0,,,,,,,,,,,,,,,,,
13,5,16,7,110,1024,0.0,,,,,,,,,,,,,,,,,
13,5,16,7,110,1024,18.0,,,,,,,,,,,,,,,,,
13,5,16,7,110,4096,0.0,,,,,,,,,,,,,,,,,
13,5,16,7,110,4096,18.0,,,,,,,,,,,,,,,,,
13,5,16,7,6800,128,0.0,,,,,,,,,,,,,,,,,
13,5,16,7,6800,128,18.0,,,,,,,,,,,,,,,,,
13,5,16,7,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,5,16,7,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,5,16,7,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,5,16,7,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,5,64,3,110,128,0.0,,,,,,,,,,,,,,,,,
13,5,64,3,110,128,18.0,,,,,,,,,,,,,,,,,
13,5,64,3,110,1024,0.0,,,,,,,,,,,,,,,,,
13,5,64,3,110,1024,18.0,,,,,,,,,,,,,,,,,
13,5,64,3,110,4096,0.0,,,,,,,,,,,,,,,,,
13,5,64,3,110,4096,18.0,,,,,,,,,,,,,,,,,
13,5,64,3,6800,128,0.0,,,,,,,,,,,,,,,,,
13,5,64,3,6800,128,18.0,,,,,,,,,,,,,,,,,
13,5,64,3,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,5,64,3,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,5,64,3,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,5,64,3,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,5,64,5,110,128,0.0,,,,,,,,,,,,,,,,,
13,5,64,5,110,128,18.0,,,,,,,,,,,,,,,,,
13,5,64,5,110,1024,0.0,,,,,,,,,,,,,,,,,
13,5,64,5,110,1024,18.0,,,,,,,,,,,,,,,,,
13,5,64,5,110,4096,0.0,,,,,,,,,,,,,,,,,
13,5,64,5,110,4096,18.0,,,,,,,,,,,,,,,,,
13,5,64,5,6800,128,0.0,,,,,,,,,,,,,,,,,
13,5,64,5,6800,128,18.0,,,,,,,,,,,,,,,,,
13,5,64,5,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,5,64,5,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,5,64,5,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,5,64,5,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,5,64,7,110,128,0.0,,,,,,,,,,,,,,,,,
13,5,64,7,110,128,18.0,,,,,,,,,,,,,,,,,
13,5,64,7,110,1024,0.0,,,,,,,,,,,,,,,,,
13,5,64,7,110,1024,18.0,,,,,,,,,,,,,,,,,
13,5,64,7,110,4096,0.0,,,,,,,,,,,,,,,,,
13,5,64,7,110,4096,18.0,,,,,,,,,,,,,,,,,
13,5,64,7,6800,128,0.0,,,,,,,,,,,,,,,,,
13,5,64,7,6800,128,18.0,,,,,,,,,,,,,,,,,
13,5,64,7,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,5,64,7,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,5,64,7,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,5,64,7,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,6,16,3,110,128,0.0,,,,,,,,,,,,,,,,,
13,6,16,3,110,128,18.0,,,,,,,,,,,,,,,,,
13,6,16,3,110,1024,0.0,,,,,,,,,,,,,,,,,
13,6,16,3,110,1024,18.0,,,,,,,,,,,,,,,,,
13,6,16,3,110,4096,0.0,,,,,,,,,,,,,,,,,
13,6,16,3,110,4096,18.0,,,,,,,,,,,,,,,,,
13,6,16,3,6800,128,0.0,,,,,,,,,,,,,,,,,
13,6,16,3,6800,128,18.0,,,,,,,,,,,,,,,,,
13,6,16,3,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,6,16,3,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,6,16,3,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,6,16,3,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,6,16,5,110,128,0.0,,,,,,,,,,,,,,,,,
13,6,16,5,110,128,18.0,,,,,,,,,,,,,,,,,
13,6,16,5,110,1024,0.0,,,,,,,,,,,,,,,,,
13,6,16,5,110,1024,18.0,,,,,,,,,,,,,,,,,
13,6,16,5,110,4096,0.0,,,,,,,,,,,,,,,,,
13,6,16,5,110,4096,18.0,,,,,,,,,,,,,,,,,
13,6,16,5,6800,128,0.0,,,,,,,,,,,,,,,,,
13,6,16,5,6800,128,18.0,,,,,,,,,,,,,,,,,
13,6,16,5,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,6,16,5,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,6,16,5,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,6,16,5,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,6,16,7,110,128,0.0,,,,,,,,,,,,,,,,,
13,6,16,7,110,128,18.0,,,,,,,,,,,,,,,,,
13,6,16,7,110,1024,0.0,,,,,,,,,,,,,,,,,
13,6,16,7,110,1024,18.0,,,,,,,,,,,,,,,,,
13,6,16,7,110,4096,0.0,,,,,,,,,,,,,,,,,
13,6,16,7,110,4096,18.0,,,,,,,,,,,,,,,,,
13,6,16,7,6800,128,0.0,,,,,,,,,,,,,,,,,
13,6,16,7,6800,128,18.0,,,,,,,,,,,,,,,,,
13,6,16,7,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,6,16,7,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,6,16,7,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,6,16,7,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,6,64,3,110,128,0.0,,,,,,,,,,,,,,,,,
13,6,64,3,110,128,18.0,,,,,,,,,,,,,,,,,
13,6,64,3,110,1024,0.0,,,,,,,,,,,,,,,,,
13,6,64,3,110,1024,18.0,,,,,,,,,,,,,,,,,
13,6,64,3,110,4096,0.0,,,,,,,,,,,,,,,,,
13,6,64,3,110,4096,18.0,,,,,,,,,,,,,,,,,
13,6,64,3,6800,128,0.0,,,,,,,,,,,,,,,,,
13,6,64,3,6800,128,18.0,,,,,,,,,,,,,,,,,
13,6,64,3,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,6,64,3,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,6,64,3,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,6,64,3,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,6,64,5,110,128,0.0,,,,,,,,,,,,,,,,,
13,6,64,5,110,128,18.0,,,,,,,,,,,,,,,,,
13,6,64,5,110,1024,0.0,,,,,,,,,,,,,,,,,
13,6,64,5,110,1024,18.0,,,,,,,,,,,,,,,,,
13,6,64,5,110,4096,0.0,,,,,,,,,,,,,,,,,
13,6,64,5,110,4096,18.0,,,,,,,,,,,,,,,,,
13,6,64,5,6800,128,0.0,,,,,,,,,,,,,,,,,
13,6,64,5,6800,128,18.0,,,,,,,,,,,,,,,,,
13,6,64,5,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,6,64,5,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,6,64,5,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,6,64,5,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,6,64,7,110,128,0.0,,,,,,,,,,,,,,,,,
13,6,64,7,110,128,18.0,,,,,,,,,,,,,,,,,
13,6,64,7,110,1024,0.0,,,,,,,,,,,,,,,,,
13,6,64,7,110,1024,18.0,,,,,,,,,,,,,,,,,
13,6,64,7,110,4096,0.0,,,,,,,,,,,,,,,,,
13,6,64,7,110,4096,18.0,,,,,,,,,,,,,,,,,
13,6,64,7,6800,128,0.0,,,,,,,,,,,,,,,,,
13,6,64,7,6800,128,18.0,,,,,,,,,,,,,,,,,
13,6,64,7,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,6,64,7,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,6,64,7,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,6,64,7,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,7,16,3,110,128,0.0,,,,,,,,,,,,,,,,,
13,7,16,3,110,128,18.0,,,,,,,,,,,,,,,,,
13,7,16,3,110,1024,0.0,,,,,,,,,,,,,,,,,
13,7,16,3,110,1024,18.0,,,,,,,,,,,,,,,,,
13,7,16,3,110,4096,0.0,,,,,,,,,,,,,,,,,
13,7,16,3,110,4096,18.0,,,,,,,,,,,,,,,,,
13,7,16,3,6800,128,0.0,,,,,,,,,,,,,,,,,
13,7,16,3,6800,128,18.0,,,,,,,,,,,,,,,,,
13,7,16,3,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,7,16,3,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,7,16,3,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,7,16,3,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,7,16,5,110,128,0.0,,,,,,,,,,,,,,,,,
13,7,16,5,110,128,18.0,,,,,,,,,,,,,,,,,
13,7,16,5,110,1024,0.0,,,,,,,,,,,,,,,,,
13,7,16,5,110,1024,18.0,,,,,,,,,,,,,,,,,
13,7,16,5,110,4096,0.0,,,,,,,,,,,,,,,,,
13,7,16,5,110,4096,18.0,,,,,,,,,,,,,,,,,
13,7,16,5,6800,128,0.0,,,,,,,,,,,,,,,,,
13,7,16,5,6800,128,18.0,,,,,,,,,,,,,,,,,
13,7,16,5,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,7,16,5,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,7,16,5,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,7,16,5,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,7,16,7,110,128,0.0,,,,,,,,,,,,,,,,,
13,7,16,7,110,128,18.0,,,,,,,,,,,,,,,,,
13,7,16,7,110,1024,0.0,,,,,,,,,,,,,,,,,
13,7,16,7,110,1024,18.0,,,,,,,,,,,,,,,,,
13,7,16,7,110,4096,0.0,,,,,,,,,,,,,,,,,
13,7,16,7,110,4096,18.0,,,,,,,,,,,,,,,,,
13,7,16,7,6800,128,0.0,,,,,,,,,,,,,,,,,
13,7,16,7,6800,128,18.0,,,,,,,,,,,,,,,,,
13,7,16,7,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,7,16,7,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,7,16,7,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,7,16,7,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,7,64,3,110,128,0.0,,,,,,,,,,,,,,,,,
13,7,64,3,110,128,18.0,,,,,,,,,,,,,,,,,
13,7,64,3,110,1024,0.0,,,,,,,,,,,,,,,,,
13,7,64,3,110,1024,18.0,,,,,,,,,,,,,,,,,
13,7,64,3,110,4096,0.0,,,,,,,,,,,,,,,,,
13,7,64,3,110,4096,18.0,,,,,,,,,,,,,,,,,
13,7,64,3,6800,128,0.0,,,,,,,,,,,,,,,,,
13,7,64,3,6800,128,18.0,,,,,,,,,,,,,,,,,
13,7,64,3,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,7,64,3,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,7,64,3,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,7,64,3,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,7,64,5,110,128,0.0,,,,,,,,,,,,,,,,,
13,7,64,5,110,128,18.0,,,,,,,,,,,,,,,,,
13,7,64,5,110,1024,0.0,,,,,,,,,,,,,,,,,
13,7,64,5,110,1024,18.0,,,,,,,,,,,,,,,,,
13,7,64,5,110,4096,0.0,,,,,,,,,,,,,,,,,
13,7,64,5,110,4096,18.0,,,,,,,,,,,,,,,,,
13,7,64,5,6800,128,0.0,,,,,,,,,,,,,,,,,
13,7,64,5,6800,128,18.0,,,,,,,,,,,,,,,,,
13,7,64,5,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,7,64,5,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,7,64,5,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,7,64,5,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,7,64,7,110,128,0.0,,,,,,,,,,,,,,,,,
13,7,64,7,110,128,18.0,,,,,,,,,,,,,,,,,
13,7,64,7,110,1024,0.0,,,,,,,,,,,,,,,,,
13,7,64,7,110,1024,18.0,,,,,,,,,,,,,,,,,
13,7,64,7,110,4096,0.0,,,,,,,,,,,,,,,,,
13,7,64,7,110,4096,18.0,,,,,,,,,,,,,,,,,
13,7,64,7,6800,128,0.0,,,,,,,,,,,,,,,,,
13,7,64,7,6800,128,18.0,,,,,,,,,,,,,,,,,
13,7,64,7,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,7,64,7,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,7,64,7,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,7,64,7,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,8,16,3,110,128,0.0,,,,,,,,,,,,,,,,,
13,8,16,3,110,128,18.0,,,,,,,,,,,,,,,,,
13,8,16,3,110,1024,0.0,,,,,,,,,,,,,,,,,
13,8,16,3,110,1024,18.0,,,,,,,,,,,,,,,,,
13,8,16,3,110,4096,0.0,,,,,,,,,,,,,,,,,
13,8,16,3,110,4096,18.0,,,,,,,,,,,,,,,,,
13,8,16,3,6800,128,0.0,,,,,,,,,,,,,,,,,
13,8,16,3,6800,128,18.0,,,,,,,,,,,,,,,,,
13,8,16,3,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,8,16,3,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,8,16,3,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,8,16,3,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,8,16,5,110,128,0.0,,,,,,,,,,,,,,,,,
13,8,16,5,110,128,18.0,,,,,,,,,,,,,,,,,
13,8,16,5,110,1024,0.0,,,,,,,,,,,,,,,,,
13,8,16,5,110,1024,18.0,,,,,,,,,,,,,,,,,
13,8,16,5,110,4096,0.0,,,,,,,,,,,,,,,,,
13,8,16,5,110,4096,18.0,,,,,,,,,,,,,,,,,
13,8,16,5,6800,128,0.0,,,,,,,,,,,,,,,,,
13,8,16,5,6800,128,18.0,,,,,,,,,,,,,,,,,
13,8,16,5,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,8,16,5,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,8,16,5,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,8,16,5,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,8,16,7,110,128,0.0,,,,,,,,,,,,,,,,,
13,8,16,7,110,128,18.0,,,,,,,,,,,,,,,,,
13,8,16,7,110,1024,0.0,,,,,,,,,,,,,,,,,
13,8,16,7,110,1024,18.0,,,,,,,,,,,,,,,,,
13,8,16,7,110,4096,0.0,,,,,,,,,,,,,,,,,
13,8,16,7,110,4096,18.0,,,,,,,,,,,,,,,,,
13,8,16,7,6800,128,0.0,,,,,,,,,,,,,,,,,
13,8,16,7,6800,128,18.0,,,,,,,,,,,,,,,,,
13,8,16,7,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,8,16,7,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,8,16,7,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,8,16,7,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,8,64,3,110,128,0.0,,,,,,,,,,,,,,,,,
13,8,64,3,110,128,18.0,,,,,,,,,,,,,,,,,
13,8,64,3,110,1024,0.0,,,,,,,,,,,,,,,,,
13,8,64,3,110,1024,18.0,,,,,,,,,,,,,,,,,
13,8,64,3,110,4096,0.0,,,,,,,,,,,,,,,,,
13,8,64,3,110,4096,18.0,,,,,,,,,,,,,,,,,
13,8,64,3,6800,128,0.0,,,,,,,,,,,,,,,,,
13,8,64,3,6800,128,18.0,,,,,,,,,,,,,,,,,
13,8,64,3,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,8,64,3,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,8,64,3,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,8,64,3,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,8,64,5,110,128,0.0,,,,,,,,,,,,,,,,,
13,8,64,5,110,128,18.0,,,,,,,,,,,,,,,,,
13,8,64,5,110,1024,0.0,,,,,,,,,,,,,,,,,
13,8,64,5,110,1024,18.0,,,,,,,,,,,,,,,,,
13,8,64,5,110,4096,0.0,,,,,,,,,,,,,,,,,
13,8,64,5,110,4096,18.0,,,,,,,,,,,,,,,,,
13,8,64,5,6800,128,0.0,,,,,,,,,,,,,,,,,
13,8,64,5,6800,128,18.0,,,,,,,,,,,,,,,,,
13,8,64,5,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,8,64,5,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,8,64,5,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,8,64,5,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,8,64,7,110,128,0.0,,,,,,,,,,,,,,,,,
13,8,64,7,110,128,18.0,,,,,,,,,,,,,,,,,
13,8,64,7,110,1024,0.0,,,,,,,,,,,,,,,,,
13,8,64,7,110,1024,18.0,,,,,,,,,,,,,,,,,
13,8,64,7,110,4096,0.0,,,,,,,,,,,,,,,,,
13,8,64,7,110,4096,18.0,,,,,,,,,,,,,,,,,
13,8,64,7,6800,128,0.0,,,,,,,,,,,,,,,,,
13,8,64,7,6800,128,18.0,,,,,,,,,,,,,,,,,
13,8,64,7,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,8,64,7,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,8,64,7,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,8,64,7,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,9,16,3,110,128,0.0,,,,,,,,,,,,,,,,,
13,9,16,3,110,128,18.0,,,,,,,,,,,,,,,,,
13,9,16,3,110,1024,0.0,,,,,,,,,,,,,,,,,
13,9,16,3,110,1024,18.0,,,,,,,,,,,,,,,,,
13,9,16,3,110,4096,0.0,,,,,,,,,,,,,,,,,
13,9,16,3,110,4096,18.0,,,,,,,,,,,,,,,,,
13,9,16,3,6800,128,0.0,,,,,,,,,,,,,,,,,
13,9,16,3,6800,128,18.0,,,,,,,,,,,,,,,,,
13,9,16,3,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,9,16,3,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,9,16,3,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,9,16,3,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,9,16,5,110,128,0.0,,,,,,,,,,,,,,,,,
13,9,16,5,110,128,18.0,,,,,,,,,,,,,,,,,
13,9,16,5,110,1024,0.0,,,,,,,,,,,,,,,,,
13,9,16,5,110,1024,18.0,,,,,,,,,,,,,,,,,
13,9,16,5,110,4096,0.0,,,,,,,,,,,,,,,,,
13,9,16,5,110,4096,18.0,,,,,,,,,,,,,,,,,
13,9,16,5,6800,128,0.0,,,,,,,,,,,,,,,,,
13,9,16,5,6800,128,18.0,,,,,,,,,,,,,,,,,
13,9,16,5,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,9,16,5,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,9,16,5,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,9,16,5,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,9,16,7,110,128,0.0,,,,,,,,,,,,,,,,,
13,9,16,7,110,128,18.0,,,,,,,,,,,,,,,,,
13,9,16,7,110,1024,0.0,,,,,,,,,,,,,,,,,
13,9,16,7,110,1024,18.0,,,,,,,,,,,,,,,,,
13,9,16,7,110,4096,0.0,,,,,,,,,,,,,,,,,
13,9,16,7,110,4096,18.0,,,,,,,,,,,,,,,,,
13,9,16,7,6800,128,0.0,,,,,,,,,,,,,,,,,
13,9,16,7,6800,128,18.0,,,,,,,,,,,,,,,,,
13,9,16,7,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,9,16,7,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,9,16,7,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,9,16,7,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,9,64,3,110,128,0.0,,,,,,,,,,,,,,,,,
13,9,64,3,110,128,18.0,,,,,,,,,,,,,,,,,
13,9,64,3,110,1024,0.0,,,,,,,,,,,,,,,,,
13,9,64,3,110,1024,18.0,,,,,,,,,,,,,,,,,
13,9,64,3,110,4096,0.0,,,,,,,,,,,,,,,,,
13,9,64,3,110,4096,18.0,,,,,,,,,,,,,,,,,
13,9,64,3,6800,128,0.0,,,,,,,,,,,,,,,,,
13,9,64,3,6800,128,18.0,,,,,,,,,,,,,,,,,
13,9,64,3,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,9,64,3,6800,1024,18.0,,,,,,,,,,,,,,,,,
13,9,64,3,6800,4096,0.0,,,,,,,,,,,,,,,,,
13,9,64,3,6800,4096,18.0,,,,,,,,,,,,,,,,,
13,9,64,5,110,128,0.0,,,,,,,,,,,,,,,,,
13,9,64,5,110,128,18.0,,,,,,,,,,,,,,,,,
13,9,64,5,110,1024,0.0,,,,,,,,,,,,,,,,,
13,9,64,5,110,1024,18.0,,,,,,,,,,,,,,,,,
13,9,64,5,110,4096,0.0,,,,,,,,,,,,,,,,,
13,9,64,5,110,4096,18.0,,,,,,,,,,,,,,,,,
13,9,64,5,6800,128,0.0,,,,,,,,,,,,,,,,,
13,9,64,5,6800,128,18.0,,,,,,,,,,,,,,,,,
13,9,64,5,6800,1024,0.0,,,,,,,,,,,,,,,,,
13,9,64,5,6800,1024,18.0,,,,,,,,,,,,,,,,,
